sents,topics,sentiments
"giờ giảng dạy của thầy đa số là thầy đọc , giọng nói thầy đều đều làm đa số mọi người rất buồn ngủ .",0,0
mặc dù môn này đã được nghe thầy nói được dạy lần đầu cho khóa 3 .,0,1
"thầy dạy không để ý xem sinh viên có nhận thức được hay không , chỉ dạy cho hết bài rôi về .",0,0
rất hay khuyến khích tinh thần học tập .,0,2
"là một môn học về kỹ năng , cu thể là kỹ năng mềm nên có nhiều hơn những bài học kết hợp các kỹ năng hỗ trợ khác khi học môn này như kỹ năng giao tiếp nguyên lý và kinh nghiệm thuyết trình , cách đọc tài liệu ngoại ngữ chuyên ngành , các tra cứu thông tin hiệu quả .",1,0
lắng nghe ý kiến của sinh viên trong quá trình học .,0,2
"giảng viên rất nhiệt tình giảng dạy , rất sẵn lòng giải đáp thắc mắc của sinh viên .",0,2
"cô vui vẻ , hay quan tâm sinh viên .",1,2
rất quan tâm học viên .,0,2
"thầy rất nhiệt tình , em rất hài lòng về cách giảng dạy cũng như các tài liệu , nội dung thầy cung cấp .",0,2
"thầy vui tính , cởi mở .",0,2
"giảng viên hướng dẫn rõ ràng , đầy đủ .",0,2
"bài tập quá khó hiểu , quá lan man , chỉ có một vài bài là hợp lý nhưng cũng khó làm .",1,0
"thầy cung cấp tài liệu học tập rất đầy đủ , chi tiết .",0,2
môn học hay và hấp dẫn .,1,2
mong cô dạy thêm về ngữ pháp .,0,0
"kỳ sau em có học một môn của chị nữa đó , nhớ giúp em qua môn nha chị .",0,2
giảng viên nên nhiệt tình hơn !,0,0
cô dạy nhiệt tình dễ hiểu .,0,2
nếu cho được điểm 11 thì em cũng cho luôn .,3,2
"ngoài kiến thức lý thuyết tụi em đã học , thầy còn cung cấp thêm cho chúng em thêm nhiều kiến thức mới nữa .",0,2
nhìn chung thầy dạy tốt .,0,2
"thầy dạy tâm huyết , giỏi , truyền đạt được cảm hứng học tập và nghiên cứu cho sinh viên .",0,2
"lớp lý thuyết chủ yếu dạy về các công nghệ mới , những sáng tạo trong công nghệ trên thế giới cũng như trong lĩnh vực di động , rất ít kiến thức về lập trình để tôi có thể hiểu về lập trình trên thiết bị di động cũng như việc làm bài tập ở lớp thực hành và đồ án môn học .",1,0
giảng viên cần cung cấp cho học viên tài liệu lý thuyết rõ ràng .,0,2
"ngoài kiến thức anh văn được cải thiện hiệu quả , sinh viên còn học được rất nhiều kỹ năng mềm khác .",1,2
"giảng viên chấm điểm công bằng , chính xác .",0,2
"giảng viên tích cực tiếp thu ý kiến sinh viên về kiến thức và cách giảng dạy , mong thầy thành công .",0,2
"thân thiện , tận tâm .",0,2
"giảng dạy dễ hiểu , giờ học vui .",0,2
tốn thời gian .,3,0
"có sự tương tác tốt , rèn được kỹ năng nghe , nói tiếng anh .",0,2
"thầy dạy hay , hướng dẫn cụ thể .",0,2
"đề nghị những bài khó giảng viên cần giảng kỹ , dễ hiểu cho cả lớp .",0,0
"thầy giảng viên ít viết chương trình trên lớp , thường copy code rồi demo cho sinh viên .",0,0
cô nên dạy nội dung khó hơn cho lớp sau .,0,0
"sự nhiệt tình , quan tâm , lắng nghe .",0,2
"lúc đầu vào học thì chưa tập trung nội dung học , mất thời gian nhưng về sau đã tập trung việc học hơn .",1,0
cô giáo tận tình .,0,2
"thầy rất nhiệt tình , hướng dẫn thực hành kỹ càng .",0,2
"lập trình hướng đối tượng nói riêng và tất cả các môn liên quan đến lập trình nói chung theo em nên được cập nhật tài liệu thường xuyên , đặc biệt là các phần mềm trong các phòng lab để tránh tình trạng các tài liệu và phần mềm hỗ trợ học tập lỗi thời và gây khó khăn cho việc giảng dạy và học tập .",2,0
"thầy nói nghe không rõ , truyền đạt khó hiểu , không tạo hứng thú cho sinh viên .",0,0
"giảng dạy tốt , đưa ra nhiều vấn đề cho sinh viên tham khảo .",0,2
cung cấp nhiều tài liệu tham khảo .,0,2
"giảng viên nhiệt tình , giảng dạy dễ hiểu , thu hút .",0,2
khó tiếp thu được kiến thức cô truyền đạt .,0,0
cô rất nhiệt tình với lớp .,0,2
"nên cho sinh viên làm nhiều bài tập , từ đơn giản đến phức tạp để hiểu hết môn học .",1,0
có chút không hiểu bài .,0,0
"cần trang bị máy nghe tốt hơn , có nhiều máy nghe đã xuống cấp .",2,0
"giáo viên giảng dạy rất nhiệt tình , bài giảng dễ hiểu .",0,2
không nêu thông tin rõ ràng thời gian báo cáo .,1,0
cô dung dậy nhiệt tình dễ hiểu .,0,2
"nhiệt tình , dễ hiểu .",0,2
những bài tập về nhà khó em hy vọng thầy có bài sửa mẫu chi tiết cho cả lớp giúp chúng em rút kinh nghiệm ạ .,0,0
"hiền , dễ thương , cười tươi .",0,2
"cô rất nhiệt tình , giảng cụ thể .",0,2
"tiết dạy sinh động , lôi cuốn .",0,2
"dạy không nhiệt tình , tài liệu ít .",0,0
"thầy rất nhiệt tình , kiến thức uyên bác , chuyên sâu .",0,2
cách thức giảng dạy chưa phù hợp lắm với sinh viên có học lực chưa tốt .,0,0
"thầy dạy nhiệt tình , rất dễ hiểu .",0,2
cô là giáo viên có tâm và nhiệt huyết nhất em từng gặp .,0,2
"sinh viên hiểu bài rất dễ dàng , chỗ nào không hiểu là giảng viên tận tâm giảng lại ngay , thường xuyên tạo cuộc tranh luận trong giờ học để giúp sinh viên tăng cường tranh luận , trao đổi giúp bài học trở nên phong phú và dễ hiểu hơn .",0,2
"cô cho rất nhiều bài tập trên hệ thống moodle , giảng dạy rất lý thú , vui vẻ .",0,2
"phân chia nhóm hợp lý , theo sát quá trình thực hành của sinh viên .",0,2
"giảng viên dạy rất hay , nhiệt tình .",0,2
"giáo viên tận tình , dạy hay , dễ tiếp thu .",0,2
rất mong thầy sẽ tiếp tục giảng dạy các khoá sau .,0,2
cô cho tan lớp hơi trễ do cô mê dạy quá .,0,0
"thầy tận tâm , nhiệt tình chia sẻ kiến thức , kỹ năng .",0,2
chưa thu hút được sinh viên .,0,0
"em cảm thấy trên lớp học cô chỉ chú trọng vô listening là chính mà bỏ qua các phần khác , grammar chỉ dạy được có một bài , không có hoạt động speaking .",1,0
cần trang bị phòng thực hành phù hợp với đặc thù môn học .,2,0
kiến thức học luôn được liên hệ với thực tế .,1,2
cải thiện trang thiết bị .,2,0
"giảng viên tận tâm , hướng dẫn cách sinh viên học tập một cách chủ động .",0,2
"giảng viên nhiệt tình , chỉ dẫn tận tình , chi tiết bài học , đưa ra các ví dụ cụ thể , chi tiết thực tế vào bài học giúp sinh viên hiểu bài hơn .",0,2
"sinh viền cần có tài liệu của các bài thực hành trước để nghiên cứu , việc lên thực hành mới được cung cấp tài liệu buổi thực hành chỉ mang lại điểm số , không giúp sinh viên có được kiến thức .",1,0
"giáo viên hướng dẫn tận tình , cung cấp đầy đủ kiến thức căn bản bộ môn .",0,2
"do phòng học khá đông và máy chiếu không rõ , nên việc giảng viên sử dụng các đoạn code trong ide để minh họa gây khó khăn cho các sinh viên ngồi xa và hoặc mắt kém .",2,0
thầy wzjwz307 dạy giỏi từ xưa đến giờ .,0,2
nghiêm túc trong quá trình giảng dạy .,0,2
"cô dạy rất nhiệt tình , tận tâm , và cách dạy rất dễ hiểu .",0,2
giáo viên giảng bài hay .,0,2
"thầy rất nhiệt tình , giảng chi tiết .",0,2
truyền đạt kiến thức rất tốt và tạo hứng thú cho học sinh .,0,2
bình thường với giảng viên .,3,1
"cô giảng tương đối dễ hiểu , có nhiều bài tập minh họa , áp dụng sau khi học lý thuyết .",0,2
cho rất nhiều ví dụ và bài tập mà thông qua đó làm sinh viên dễ tiếp thu bài .,0,2
"cải thiện máy chiếu , phòng thực hành .",2,0
giáo viên vui tính .,0,2
cần tăng số buổi thực hành lên vì quá ít .,1,0
cần đề cương môn học rõ ràng .,1,0
giảng viên nhiệt tình trong quá trình giảng dạy và hướng dẫn sinh viên .,0,2
dù đã xem trước bài khi lên lớp nhưng nó quá xa lạ đối với em .,3,0
"thầy rất nhiệt tình , giảng dễ hiểu , có rất nhiều trò chơi trong giờ học giúp sinh viên hiểu , củng cố lại bài và không bị nhàm chán ( ai là nghìn phú , rung chuông vàng , dot ) .",0,2
không có file hướng dẫn giải bài tập ( chỉ có hướng dẫn giải các bài cơ bản trên lớp ) .,0,0
nhiều lúc hỏi bài sợ thầy la .,0,0
"cô rất nhiệt tình trong quá trình giảng dạy , luôn khuyên nhủ sinh viên học bài và làm bài tập .",0,2
"giải đáp các thắc mắc của sinh viên , hướng dẫn , theo dõi và giám sát sinh viên trong lúc thực hành .",1,2
"giảng dạy tận tâm , nhiệt tình .",0,2
nhà trường cần cài đặt các chương trình học mới nhất để sinh viên làm quen .,1,0
"giáo viên nhiệt tình , tận tâm .",0,2
cách trình bày nội dung của môn học chưa cập nhật mới .,1,0
"dạy không lan man mà cần tập trung những vấn đề quan trọng , hệ thống kiến thức cho sinh viên nắm kỹ và làm bài tập nhuần nhuyễn hơn , cho bài tập nhưng cần phải sửa bài !",0,0
ít bài tập hay .,1,0
mong học kỳ sau sẽ sớm có phòng thí nghiệm cho môn này .,2,0
hi vọng cô có thể giảng dạy lý thuyết xen kẽ với bài tập trong mỗi buổi học để giúp sinh viên hiểu rõ vấn đề cần nắm hơn .,0,0
"giảng viên luôn bận họp , cả khóa học chỉ học được vài buổi .",0,0
"giảng viên vui vẻ , cởi mở , đặc biệt nhiệt tình khi sinh viên hỏi bài .",0,2
nên tăng thêm nhiều tiết thực hành 1 tuần .,1,0
"cô hiểu rõ trình độ của từng học sinh để có phương pháp , bài tập phù hợp với từng học sinh .",0,2
"giảng thao thao bất tuyệt , nói những thuật ngữ khó hiểu nhưng không giải thích cặn kẽ .",0,0
"em nghĩ thầy nên vận động nhiều hơn , đứng trước bục giảng hoặc đi qua đi lại .",0,0
hết !,3,1
dạy thêm giờ khi sinh viên chưa hoàn thành xong bài .,0,2
nhiệt tình giúp đỡ với sinh viên .,0,2
quá nhiều trò .,1,0
tạo những deadline mà sinh viên không thể sắp xếp được thời gian .,0,0
phòng thực hành quá xuống cấp .,2,0
"thầy dạy truyền đạt tư tưởng tốt , dễ hiểu .",0,2
"cô dễ thương , giải đáp thắc mắc với cung cấp tài liệu đầy đủ cho mỗi tuần học .",0,2
dạy rất tốt về ubuntu .,0,2
giảng viên thường xuyên quan tâm tới sinh viên .,0,2
"dạy dễ hiểu , tận tình , giúp sinh viên tiếp thu tốt các mục đích giảng dạy .",0,2
"thầy dạy nhiệt tình , cung cấp nhiều tài liệu hữu ích .",0,2
cô tận tâm và nhiệt tình giúp đỡ em .,0,2
nội dung slide doubledot em thấy slide này làm tài liệu đọc ôn lại ( khi đã hiểu rồi ) thì phù hợp hơn tài liệu giảng .,1,0
giáo viên nhiệt tình thân thiện .,0,2
đồ án nên giới hạn chủ đề .,1,0
cần cải thiện cơ sở vật chất phù hợp với môn học anh văn hơn nữa .,2,0
thầy rất tốt với sinh viên .,0,2
kiểm tra liên tục bài tập về nhà nhiều hơn .,0,0
"sách cung cấp rất nhiều bài tập và kiến thức , nhưng do số tiết không đủ nên giáo viên đã bỏ qua nhiều phần , nhất là phần nói và viết .",1,0
hướng dẫn tận tình cho từng học sinh .,0,2
"cô giảng bài dễ hiểu , nhiệt tình .",0,2
giảng viên không chỉ cung cấp những kiến thức như trong đề cương môn học mà còn cung cấp những kiến thức sâu rộng về thực tiễn cũng như nâng cao nhằm tăng cường độ hiểu biết cho học sinh .,0,2
nên sửa đổi nội dung môn học hợp lý hơn .,1,0
cô giảng bài giọng rất nhỏ và khó nghe dù đã có micro .,0,0
giáo viên cần sử dụng thơi gian dạy hợp lý hơn .,0,0
"đề thi quá dài , rất nhiều phần xử lý giống nhau nhưng lại phân ra nhiều câu như vậy không có tính chất phân loại năng lực sinh viên , mà là một cuộc đua xem ai làm nhanh hơn .",1,0
không có gì để hài lòng .,3,0
"có những khoảng thời gian trống trong giờ học , làm kéo dài buổi học .",0,0
nội dung thi không đúng giảng dạy .,1,0
thầy nhìn hiền hiền .,0,2
"đi kèm theo đó là khả năng truyền đạt cực kỳ tệ , giờ học khá chán .",0,0
"tuy nhiên , kiến thức về giải bài tập là chưa đủ để thi .",1,0
"vui tính , hòa đồng nhiệt tình , chỉ bảo tận tình .",0,2
cô dạy diễu hiểu ạ .,0,2
giảng viên chưa nhiệt tình lắm .,0,0
thầy có cho bài tập .,0,1
em vinh dự được là học trò của thầy .,0,2
thêm giờ thực hành .,1,1
thầy căn chỉnh thời gian dạy không tốt .,0,0
cần thêm nhiều video demo hướng dẫn thực hành các quy trình thì chất lượng học môn này sẽ cao hơn .,1,0
bài giảng tạo cảm giác hứng thú và tiếp thu bài nhanh .,1,2
tăng hoạt động speaking .,1,0
nâng cao chất lượng cơ sở vật chất của trường .,2,0
"thầy dạy rất kỹ về kiên thức , rất tận tình trong công tác giảng dạy .",0,2
"thầy dạy kỹ và dễ hiểu , khuyến khích khả năng tự học của sinh viên , không khí lớp học vui vẻ .",0,2
dạy còn khó hiểu .,0,0
"nhiệt tình , cởi mở .",0,2
"dễ hiểu , rõ ràng .",0,2
"phòng máy quá yếu , không thực sự tốt vì máy tính còn yếu , cấu hình không được cao .",2,0
"thầy nhắm đến người giỏi , không nhắm đến người dở .",0,0
tài liệu phục vụ cho môn học chưa được nhà trường hỗ trợ .,1,0
"giảng hay , dễ hiểu , nhiệt huyết .",0,2
nhiệt tình trả lời thắc mắc của sinh viên .,0,2
"phòng học cần sạch sẽ hơn , bàn ghế rất bụi , máy chiếu tất nhiên nói nhìn được thì vẫn nhìn được nhưng như thế là vẫn mờ , cần sáng hơn , cho các bạn ngồi phía dưới thấy nữa .",2,0
đảm bảo về mặt giờ giấc .,0,1
cách giảng dạy thấm thía vào học sinh .,0,2
cách tiếp cận nội dung chưa tốt .,0,0
tăng cường kỹ năng làm việc nhóm .,1,0
"nhiệt tình , giảng dễ hiểu , đúng giờ .",0,2
"thầy có khả năng truyền thụ tốt , giúp sinh viên có thể dễ dàng hình dung được các thuật toán .",0,2
tăng cường buổi học .,1,0
truyền đạt dễ hiểu .,0,2
thầy có giới thiệu một vài buổi giới thiệu nghề nghiệp như uit career .,0,2
"dạy hay , tận tâm với sinh viết , kiến thức truyền đạt rất tốt .",0,2
"slide giảng dạy rất chán , không cập nhật từ năm 2009 tới giờ vẫn sài .",1,0
em đề xuất nên bỏ một số phần giảng lại lý thuyết ra để có thời gian làm bài tập nhiều hơn .,1,0
"phòng thực hành thường xuyên không mở đúng giờ , hy vọng giáo viên mở cửa đúng giờ .",2,0
nói lan man .,0,0
"khi nghỉ học , thầy đã thông báo nghỉ , khoa cần cập nhập kịp thời thông tin nghỉ trên web khoa .",1,0
thời khóa biểu cách nộp bài vào những tuần nghỉ ôn thi giữa kỳ không hợp lý .,1,0
dạy không nhiệt tình .,0,0
"thầy đã chọn cách chúng em hoạt động trong môn này thật là với em thật là không thích và cảm thấy không đúng , không phải chỉ mình em thấy vậy còn có những bạn khác cũng như vậy , chúng em đã có nói chuyện với nhau .",0,0
"giảng viên nhiệt tình , phương pháp giảng dạy hay .",0,2
điểm quá trình chưa đánh giá đúng .,3,0
khả năng truyền đạt của thầy không được tốt lắm .,0,0
50% giành cho kiến thức chi tiết một loại công nghệ dotnet doubledot có thể giống đồ án cuối kỳ hiện tại .,1,1
"cô dạy hay , học không nhất thiết phải trong sách vở .",0,2
cô cho thực hành rất nhiều .,0,2
"nhiệt tình , hòa đồng cùng sinh viên .",0,2
truyền đạt kiến thức rất dễ hiểu .,0,2
giáo viên đảm bảo giờ giấc .,0,2
"dạy cứng nhắc , không liên hệ thực tế nhiều .",0,0
giảng viên giảng dạy rất nhiệt tình .,0,2
có nguồn lý thuyết đầy đủ và có nhiều bài tập thực hành mẫu nên rất dễ học .,0,2
thầy dạy rất hay chỉ chỉ bảo tận tình .,0,2
rất tốt và nhiệt tình .,0,2
thầy dạy kỹ càng .,0,2
"hệ thống slide bài giảng chi tiết , rõ ràng .",0,2
kiến thức này liệu có chắc là cơ bản và được cập nhật phù hợp với dân it hiện nay chưa .,1,0
giảng viên cần đảm bảo giờ học trên lớp hiệu quả hơn .,0,0
"có thể việc chép bài trên bảng xuống vở là một phương pháp học hay , nhưng chữ thầy khá nhỏ và hơi xấu colonsmilesmile .",0,0
"giảng viên tận tâm , giảng dạy có chất lượng .",0,2
"giảng dạy dễ hiểu , vui vẻ .",0,2
giảng bài hơi khó hiểu .,0,0
"giảng viên dạy nhiệt tình , vui tính .",0,2
thầy trang bị cho chúng em những kiến thức khá hữu ích sau khi ra trường !,0,2
việc thắc mắc thầy điều giải đáp .,0,2
giảng hơi khó hiểu đó nha .,0,0
nên giảng chậm lại .,0,0
"thời gian làm việc trên lớp không hiệu quả , giảng viên thường cho nghỉ học .",1,0
"giảng viên không xác nhận , đánh giá về bài tập mà sinh viên nộp .",0,0
"giảng viên giảng dạy hay nói lan man , không đúng trọng tâm môn học .",0,0
hy vọng thầy giảng song ngữ để chúng em hiểu bài hơn ạ .,0,0
"thầy dạy thực hành không hiệu quả , hầu như các buổi thực hành , thầy cho bài làm theo tuần , sinh viên tự tìm hiểu .",0,0
cô giáo nhiệt tình trong việc giảng dạy và tương tác với sinh viên .,0,2
tổ chức học bù cho các buổi nghỉ để cung cấp đầy đủ kiến thức .,1,0
thầy nên hướng dẫn nhiều và tận tình hơn cho sinh viên về đồ án môn học .,0,0
"giảng viên tận tình , giúp từng sinh viên tiếp cận với bài học , thân thiện với mọi người .",0,2
chấm bài và sửa nhiều bài tập hơn .,0,0
nhiều bài tập kiểm tra năng lực qua từng phần .,1,2
dạy tốt và hiệu quả .,0,2
"thầy rất hay đưa những ví dụ rất cụ thể về công nghệ tiến hiện có , rất hay , thú vị .",0,2
mong phòng đào tạo phản hồi lại với thầy để thầy dạy tốt hơn .,1,0
"cô dạy hay , hấp dẫn .",0,2
nói ngoài lề hơi nhiều .,0,0
dạy nhanh .,0,0
"giảng dạy dễ hiểu , ví dụ trực quan .",0,2
bởi vì trong một số trường hợp sinh viên làm bài thi thì máy tính của trường không đáp ứng đủ nhu cầu của sinh viên phải đủ nhanh .,2,0
dặn dò sinh viên cần ôn nội dung nào cho buổi học kế tiếp .,0,0
nhiệt tình tâm huyết giảng dạy .,0,2
cô cho hơi nhiều bài tập .,0,0
"anh khá tận tâm với sinh viên , rất muốn học các môn sau với anh colonsmile .",0,2
môn khá khó hiểu nên thầy cô phải tạo những ý tưởng để sinh viên dễ hiểu bài hơn .,0,0
"lớp học rất thoải mái , thầy rất nhiệt tình , vui tính .",1,2
"vui vẻ , nhiệt tình chủ động giúp đỡ mọi khó khăn của sinh viên .",0,2
cô dạy lý thuyết hơi nhanh .,0,0
thầy cô dạy rất tốt !,0,2
giảng viên nhiệt tình đối với sinh viên .,0,2
"giảng viên nghỉ dạy quá nhiều , mỗi lần nghỉ chỉ báo trước sớm nhất 1h , có khi còn báo sau khi kết thúc buổi học , trong khi nhiều bạn đã đang ngồi trên xe bus đến trường rồi , làm sao cập nhật thông tin kịp .",0,0
tài liệu học tập phong phú .,1,2
"thầy tận tâm , nhiệt huyết , có khả năng truyền đạt kiến thức tới sinh viên rất tốt , mang tính thực tiễn cao .",0,2
"cô vui vẻ , thân thiện , giáo trình giảng dạy hay và phù hợp .",0,2
viết lên bảng nhiều quá .,0,0
"giảng viên rất nhiệt tình , phần kiến thức giảng dạy cũng rất mới và thú vị .",0,2
không có tinh thần giảng dạy .,0,0
kết quả môn thực hành thì rất tốt nhưng ở môn lý thuyết thì ngược lại .,3,0
thầy dạy rất nhiệt tình dễ hiểu .,0,2
"thang điểm của đề thi cuối kỳ không hợp lý , đề 4 câu nhưng nếu làm đúng hết 3 câu 1 , 2 và 4 vẫn chưa được 50% số điểm .",1,0
everything .,3,1
thầy nói nhỏ quá colonsmile .,0,2
giảng viên quan tâm trực tiếp đến sinh viên .,0,2
giảng viên không dành nhiều thời gian ôn tập cho sinh viên .,0,0
giảng viên truyền đạt kiến thức hiệu quả .,0,2
like ( y ) .,3,2
"giáo viên hiền , vui tính .",0,2
theo em thì thời lượng môn học quá dài và liên tục khiến mệt mỏi và không tập trung học tốt được .,1,0
"theo em nghĩ là sẽ ứng dụng thực tế được , và nhiều vì viễn thông , vệ tinh của nước mình cũng đang phát triển , chỉ là môn này chưa đi sâu vào lĩnh vựa này nên làm chúng em bị mơ hồ chưa nắm được trọng tâm môn học .",1,0
"tận tình , thân thiện .",0,2
môn học mang tính thực tiễn cao .,1,2
"vui vẻ , tận tình , rất hữu ích .",0,2
"thầy truyền đạt dễ hiểu , dễ nhớ .",0,2
giảng viên dạy rất chuyên tâm dễ hiểu .,0,2
cô nhiệt tình tận tâm .,0,2
hay và sáng tạo .,3,2
"thầy giảng rất dễ hiểu , ngắn gọn , xúc tích , có ôn tập cho sinh viên .",0,2
thầy dạy vui tạo hứng thú cho môn học .,0,2
"thầy nói rất dễ nghe , dễ hiểu .",0,2
bỏ thi lý thuyết cuối kỳ do làm đồ án tốn khá nhiều thời gian .,1,0
hướng dẫn sinh viên tận tình .,0,2
"giảng viên giảng bài dễ hiểu , áp dụng làm bài được ngay .",0,2
dạy kỹ hơn xíu .,0,0
"vui vẻ , nhiệt tình .",0,2
thầy luôn khuyến khích tính tự lập và sự thực tế trong công việc .,0,2
"thầy nên trao đổi với sinh viên và có những thông báo nhắc nhở chính xác , cụ thể hơn .",0,0
bài giảng dễ hiểu .,1,2
cô dạy khó hiểu và nhàm chán .,0,0
giảng viên rất dễ gần và nhiệt tình chỉ bảo cho sinh viên .,0,2
"giảng viên đảm bảo giờ lên lớp , tích cực trong quá trình giảng dạy và trả lời câu hỏi , giảng viên khá vui tinh .",0,2
không thể nộp bài viết luận qua e-mail mà vẫn phải nộp bài bằng giấy viết tay khá mất thời gian .,0,0
chưa có diễn đàn trên courses để sinh viên có thể hỏi .,1,0
"cô rất vui vẻ , nhẹ nhàng nhưng vẫn nghiêm túc trong quá trình giảng dạy , không gây áp lực cho sinh viên .",0,2
"giảng viên nhiệt tình , tâm huyết , tương tác nhiều với sinh viên .",0,2
chúng em nhận được nhiều hơn thế .,1,0
giảng viên còn nói nhiều chuyện ngoài lề .,0,0
giảng viên nên giảng kỹ từng vấn đề .,0,0
dạy nhanh dẫn đến nhiều lúc khó hiểu .,0,0
"bỏ qua những phần của những môn khác như báo cáo hoặc những phần thứ yếu như làm poster , youtube , giới thiệu về đồ án như một sản phẩm công nghệ thực sự .",1,0
slide trình chiếu đã quá cũ không cập nhật thông tin mới .,1,0
"nên sử dụng phấn , bảng hơn slide .",1,0
"khi sinh viên có thắc mắc về bài tập thì giáo viên chỉ dẫn tận tình , dễ hiểu .",0,2
"thầy không hiểu nhưng với em thấy buồn cho kết quả của môn học này kết quả không phải là điểm thưa thầy , kết quả mà em muốn được là khả năng nhận thức bản thân qua môn này được thầy giảng dạy .",0,0
giảng dạy tận tình và chu đáo .,0,2
nên học thực hành thường xuyên hơn ( không học cách tuần ) .,1,2
"thầy rất hiền , dạy nhiệt tình , giảng dễ hiểu .",0,2
thầy cần xem trước tài liệu ở nhà .,0,0
giờ học bắt đầu muộn !,0,0
"các tiết học chưa được sinh động , không hấp dẫn được sinh viên , có nhiều sự buồn chán .",3,0
"vì lịch học giảng viên đưa ra không phù hợp với thời khóa biểu của em , nhưng có lẽ sẽ phù hợp với một số bạn khác .",0,0
giảng viên thực hành không hài lòng khi em không biết chút gì về bài thực hành số 4 nhưng em đâu có cơ hội nào để biết về chúng trước .,0,0
"nhiệt tình , hài hước .",0,2
thầy giảng bài hấp dẫn .,0,2
cực hay .,3,2
thầy đem nhiều kiến thức thực tế vào bài giảng .,0,2
nhìn có vẻ khó chịu nhưng thầy rất dễ chịu (y) .,0,2
"giảng viên vui vẻ hòa đồng , tận tâm với sinh viên , truyền đạt kiến thức tốt .",0,2
giáo trình có vẻ cứng nhắc khó tiếp thu gây chán nản .,1,0
"nhiệt tình , tui khá làm khó học sinh nhưng thế học sinh mới học .",0,2
"tuy nhiên , thái độ của sinh viên trường uit với môn học này làm tôi rất rất thất vọng .",3,0
"môn này là môn học mới vì vậy cô chưa có đủ kiến thức để truyền tải , hỗ trợ tốt tới sinh viên .",1,0
"giảng viên giảng bài dễ hiểu , có đưa ra ví dụ minh họa .",0,2
"giải thích các vấn đề trong bài giảng chưa hay , khó hiểu .",0,0
"phòng thực hành còn thiếu máy cho một lớp sinh viên , chất lượng máy không đảm bảo , đôi khi không làm theo hướng dẫn được vì máy bị hỏng .",2,0
thầy giảng hay và tạo hứng thú cho sinh viên .,0,2
"những chủ đề , khía cạnh về tiếng anh phải được cho để sinh viên tìm hiểu .",1,0
"giảng viên giảng bài rất có hiệu quả , sinh viên hiểu bài tốt .",0,2
có thể tăng cường phần speaking và listening trong các giờ học .,1,2
"giáo viên thực hành và giáo viên lý thuyết không đồng nhất tiêu chí , yêu cầu của đồ án và kiến thức môn học .",0,0
"dạy dễ hiểu , vui tính , gần gũi với sinh viên .",0,2
truyền đạt hơi khó hiểu .,0,0
học hết môn mà chẳng biết cái gì .,3,0
dạy dễ hiểu và giáo viên vui tính .,0,2
"trang thiết bị còn kém , loa chưa đủ rõ để nghe anh văn , máy chiếu chưa nhìn rõ màu sắc .",2,0
thầy hướng dẫn kỹ .,0,2
bài học còn tương đối sơ sài .,1,0
thầy giảng bài dễ hiểu !,0,2
chương trình dạy chưa được cập nhật .,0,0
thời gian học hiệu quả .,1,2
thầy dạy nhàm chán buồn ngủ .,0,0
không có ý kiến gì thêm .,3,1
áp dụng nhiều ví dụ trong cuộc sống .,0,2
"kiểm chứng phần mềm là một môn học khó , nên thực hành cần phải liên hệ thường xuyên với giáo viên , phải được gặp giáo viên hướng dẫn thường xuyên .",1,0
thầy rất nhiệt tình giải đáp những câu hỏi của sinh viên và thấy luôn đưa ra bài tập với hướng dẫn thực hành đầy đủ cho sinh viên .,0,2
"số lượng máy phòng thực hành quá ít , phải đến 2 - 3 người dùng chung một máy .",2,0
"tăng cường hệ thống thiết bị phòng học quạt , ổ điện .",1,0
nên đăng bài tập thực hành sớm hơn .,0,0
"dạy hay , có tâm quyết với nghề , nhiệt tình .",0,2
đầy đủ chi tiết .,3,2
giảng viên vào lớp toàn đọc báo bấm slide thời lượng không được bảo đảm tầm 9h là đi họp hoài .,0,0
"khi giảng bài , nói rất nhanh và khó nghe .",0,0
nên thực hành nói nhiều hơn và lên lớp nên có những hoạt động vui hơn .,1,0
giảng viên tận tình hướng dẫn .,0,2
đặc biệt là micro và máy chiếu còn trục trặc nhiều .,2,0
"cô dạy tận tình , dễ hiểu , sử dụng thời gian lên lớp hợp lý .",0,2
"điều chỉnh chất lượng doubledot với chương trình học tập hiên nay , sinh viên thương lắm vững kiến thức khi gần đến cuối kỳ gây khó cho sinh viên làm đồ án thời gian hạn hẹp .",1,0
"quan tâm sinh viên , bám sát đề cương ôn tập .",0,2
"nhiệt tình , hướng dẫn cụ thể .",0,2
thầy không điểm danh .,0,1
"cô dạy nhiệt tình , quan tâm đến học sinh .",0,2
"giờ lên lớp đều đặn , giảng viên tích cực giải đáp thắc mắc của sinh viên .",0,2
"hình thức đánh giá , chấm điểm giữa các nhóm , đánh giá bản thân , nhóm khách hàng .",3,1
thầy quá nhiệt tình nên lớp thường hay ra muộn .,0,0
"bên cạnh đó còn chia sẻ với sinh viên nhiều kinh nghiệm quý báu , có ích cho việc học và làm sau này .",0,2
"thầy dạy rất hay , luôn gắn liền với đời sống thực , giúp cho tụi em có cái nhìn chính xác về một game .",0,2
có chăng là thầy cô làm những file hướng dẫn cụ thể để sinh viên biết mình cần tìm gì .,0,0
"thầy vui vẻ , nhiệt tình .",0,2
về hạn nộp bài ( deadline ) trên moodle thầy nên cố định một giờ giấc nào đó .,0,0
"dạy dễ hiểu , vui vẻ , tận tình .",0,2
